UserName,Datetime,Tweet Id,Text
60blueQuilt,2020-10-25 23:57:51+00:00,1320514945528844289,#Trump talks like an ignorant man. #TheLikesIHaveNeverSeen lies just flow out of his mouth like #vomit
tm2804,2020-10-25 23:57:50+00:00,1320514941862989824,Watching #DonaldTrump talk to women the way he does makes me want to scream. What a douchebag. #Vote2020 #POTUS
Popcorn2Share,2020-10-25 23:57:48+00:00,1320514932362924032,@maddow Another average day in #trump’s America
vdpierre9,2020-10-25 23:57:45+00:00,1320514918018371584,It's a lie don't believe the hype it will never happen.. @realDonaldTrump #Trump @GOP @GOPconvention https://t.co/zhiUPFdlNG
RADICALSINISTRO,2020-10-25 23:57:39+00:00,1320514893515268102,#trump is the worst person ever
monroetrotter,2020-10-25 23:57:33+00:00,1320514870853423104,"@60Minutes Richard Nixon was the last @GOP president to deliver a #healthcare plan. More bloviating by @POTUS who again broke his promise for a plan by the end of August. #DonaldTrump's plan is to deprive health insurance to millions of Americans. SAD!

https://t.co/vYrxuEcw9L"
yungstro4lg,2020-10-25 23:57:30+00:00,1320514857511407619,Every time  @LesleyRStahl fact checks #Trump she starts off with “It is true” then she goes on with her narrative with a big but. There isn’t a but lady you fact checked and it is true! @60Minutes 🇺🇸🇺🇸
Amareaux,2020-10-25 23:57:30+00:00,1320514856257261568,I've been watching 60 Minutes for 30 years and Lesley Stahl is treating #Trump no different than anyone else. He's such a baby boy. #Trump2020Landslide
LewisOntaya,2020-10-25 23:57:27+00:00,1320514842701271042,@CBSNews @60Minutes Worst president ever #trump is one of #AmericasGreatestMistake
PaulMecurio,2020-10-25 23:57:25+00:00,1320514837038927872,"#Trump is dodging everything on @60Minutes   #LeslieStahl is very fair and patient. He’s deceiving with every word. 
#Election2020 https://t.co/hbqsuT54XD"
sweetlou43,2020-10-25 23:57:17+00:00,1320514801542582272,"Which party is racist now ?  .. Wow Protesters attack 'Jews for Trump' vehicle convoy in New York City #Trump 

https://t.co/yDtoAMPJbx"
MJBiercuk,2020-10-25 23:57:13+00:00,1320514787051073536,"#Trump lies, we die.

You can't try for a paper reset on #COVID19.  The US is not a casino where you can just declare bankruptcy.

#VoteBidenHarris2020 #VoteBidenHarrisToSaveAmerica https://t.co/xc05LMsTGV"
VeroArtistBlue,2020-10-25 23:57:13+00:00,1320514785100910593,"#trump is a terrorist.....

He needs to go now.

#60Minutes"
RobertBenchley,2020-10-25 23:57:10+00:00,1320514772174016512,"""DEBATE NIGHT 2020!"" — A Bad Lip Reading of the First Presidential Debate https://t.co/dAA2BWFsJL via @BadLipReading #debate #trump #biden"
WilliamQ45A,2020-10-25 23:57:02+00:00,1320514741144436737,"Thin skinned and then ran home, Trump would have gotten an apology or solved the problem.
All over the world, politicians take the 'old failed paths.'
#Tumpthepeacemaker #Trump #BlessedArethePeaceMakers"
sueryan,2020-10-25 23:56:57+00:00,1320514718776348673,"This #60MinutesInterview with #Trump is horrific! #Trump is #nasty, #lying, #angry, #deflecting, and beneath #LeslieStahl! @realDonaldTrump, you will never understand that you repulse most of the world! #GrowUpTrump #WorstPresidentInHistory  #LiarInChief"
sixpackjax,2020-10-25 23:56:55+00:00,1320514709049790464,"Leslie Stahl is a TOTAL DISGRACE! 

Every question she asks #Trump on #60Minutes is tinged with vitriolic liberal hatred. She can barely contain her disdain for Trump! 

SHE'S SO BIASED AND WAY OVER THE HILL! 

#MAGA2020 
#Trump2020"
AlisonWildlife,2020-10-25 23:56:53+00:00,1320514702590398466,"“... nine days before #Election Day, (#Trump and #Pence) are continuing to downplay (#covid19’s) risk at packed rallies across the country while endangering the lives of people around them, including their own staff and supporters.”

#TrumpLied225KDied

https://t.co/svIJ3IpqtK"
mcleod,2020-10-25 23:56:47+00:00,1320514677424615425,"The amoral hypocrisy of Republicans is staggering. 
#Trump #GOP #MAGA #Election2020 #VoteBlue2020 #RememberInNovember #VoteThemAllOut

VOTE BLUE. https://t.co/XrsINOHG4g"
nomajor_7,2020-10-25 23:56:30+00:00,1320514604645142530,"A TRUSTING HUSBAND 
#Trump 
#Melania https://t.co/pjGd8Gbwmt"
CleverPolitics,2020-10-25 23:56:23+00:00,1320514576388116482,"#60Minutes #60MinutesInterview #TrumpSurrendered 

Is this a new interview or a 2015 interview? #trump back to the future (2015) answers."
damircatic,2020-10-25 23:56:22+00:00,1320514573229826048,@60Minutes is showing us what an asshole and clueless moron #trump is
bigboutya1,2020-10-25 23:56:20+00:00,1320514564249788419,The only records set is how many people in this country are so profoundly stupid to buy what this snake oil salesman is pushing. #Trump #60Minutes #60MinutesInterview https://t.co/OJNbAnq2B1
JustmeAnybody,2020-10-25 23:56:13+00:00,1320514532557676544,"#60Minutes OMG #Trump is so nasty, such a whiny baby. No wonder he played nice to female moderator in debate, no woman watching this will vote for #Trump2020  Talk about a snowflake. Manbaby"
erubio_p,2020-10-25 23:56:02+00:00,1320514488336986112,"@Mike_Pence No. They are not patriots. 

Patriots don’t support an admin that killed 230k Americans, destroyed the economy, remained silent when Putin put bounties on American soldiers. 

They are racists empowered by you and @realDonaldTrump 

History won’t be kind. Monsters. 

#trump"
tomsommers1,2020-10-25 23:55:59+00:00,1320514475695337472,@anniekarni @maggieNYT @shearm @SherylNYT There is no #Trump response. Thank God for #AnthonyFauci.
steveberkowitz,2020-10-25 23:55:56+00:00,1320514462416130049,Voting 2020: Joe #Biden leads Donald #Trump but #Texas remains 'toss-up' https://t.co/6PSdZRocx2
little_one63,2020-10-25 23:55:54+00:00,1320514453922861057,"@danpfeiffer @JoeBiden IKR. Its like they were ALL waiting for ANYTHING so they could start a false ""both sideism"" run! Biden isn't providing them drama. The media WANTS a SHOW! They've BECOME too COMFORTABLE w/NORMALIZING #TRUMP'S CRAZY they're AFRAID of NORMAL now. SHAME ON THE MEDIA. #BidenHarris 🇺🇸"
mcleod,2020-10-25 23:55:39+00:00,1320514391805095936,"#trump #gop #maga #election2020 #voteblue2020 #rememberinnovember

VOTE BLUE. https://t.co/LfMI6YbFc1"
